 	label	size of cluster	
           1        3938
           2           4
           3       20069
          12           6
          13          16
          22           3
          23          52
          25         132
          29           8
          30          13
          31          35
          37          30
          40          12
          42          26
          44           2
          45          30
          46           3
          47          87
          49          56
          50           5
          53          12
          54          12
          55           2
          61          27
          63          12
          65       93399
          71          71
          73           5
          75           4
          76           6
          85           8
          88          22
          94           7
          95           2
          99           2
         101           5
         102          22
         103           2
         104           5
         106           2
         107           3
         108           3
         109          16
         113          22
         116           7
         124           2
         126           3
         132           3
         133           2
         134          11
         135           7
         144           2
         145          10
         147           2
         148           2
         154           3
         162           2
         165          11
         166           2
         167          17
         168          36
         171           4
         173           3
         174           4
         175           3
         182           7
         185           5
         192           2
         200           5
         201          15
         208           2
         215          11
         216           3
         227           2
         228           3
         230           2
         232           6
         238           5
         242          13
         246           2
         249           2
         256          19
         257           3
         260           3
         272          21
         277          19
         278          11
         284           3
         294           2
         296          23
         300           3
         306           6
         319           2
         321           6
         323          35
         329          22
         330           5
         334         119
         342         102
         352           8
         353          14
         362           3
         370           8
         371          19
         373           3
         374           5
         378           7
         380           2
         385           3
         405          18
         406          10
         413           4
         415           2
         418           3
         420          19
         431           2
         435           2
         440           3
         442           3
         447           3
         448           6
         449           3
         451          22
         468           2
         476           6
         488           2
         497          13
         512           6
         513           2
         514           2
         517          32
         520           5
         523          46
         528          23
         529           2
         536           2
         545           2
         548           3
         553           7
         555           2
         559          38
         563           2
         565           2
         566           2
         567           2
         573           6
         574           3
         575          15
         584           3
         585           5
         586          22
         587          17
         590           3
         601           3
         604           6
         612          13
         613           2
         615           2
         616           6
         617           2
         621         185
         630           3
         641           3
         645           6
         647           2
         652          10
         654          27
         663           5
         664           9
         681          14
         682           6
         687           4
         689           9
         691          11
         698          18
         700           8
         705           4
         708           3
         713           4
         714          66
         715           5
         716           3
         718           2
         724           9
         726           8
         728           5
         732           2
         746           4
         775           2
         780           2
         786           2
         792           3
         797           2
         804           4
         810           2
         821          19
         822           2
         826           3
         827           2
         842           4
         847           4
         852           7
         853           3
         856           7
         859           7
         869           2
         872           3
         873           2
         883          19
         887           9
         890           2
         892           4
         901           2
         906           4
         915           2
         919           8
         923           3
         924          15
         929           2
         933          23
         934          24
         935           7
         936           2
         938          63
         944           4
         948           2
         953           2
         954           6
         955           2
         958         138
         959          14
         964           2
         965          11
         969           5
         979           2
         984           2
         992           7
         999           6
        1000           2
        1001           2
        1003           2
        1006           2
        1007         114
        1009          16
        1014           6
        1016           5
        1019           2
        1021           7
        1029           4
        1031           2
        1032           4
        1044           4
        1049           2
        1050          39
        1054           8
        1055           2
        1058           2
        1079           2
        1092          25
        1103           2
        1104           2
        1115          20
        1116           3
        1121           2
        1123          12
        1126          10
        1131           2
        1132           3
        1142           5
        1154           2
        1156           2
        1157           3
        1165           3
        1172           5
        1176          28
        1178           2
        1180           2
        1194          90
        1201           2
        1208           3
        1210           5
        1213          27
        1215           2
        1219           2
        1228           5
        1229           7
        1243          58
        1245           2
        1247           3
        1252           3
        1264          16
        1272          23
        1275           6
        1296           3
        1297           3
        1313           2
        1319           2
        1320           3
        1332           2
        1333           2
        1335           5
        1339           4
        1346           2
        1354           2
        1357           2
        1362           5
        1365           3
        1374          12
        1375           4
        1388           5
        1389           2
        1393           3
        1397           2
        1403           2
        1405           3
        1409           2
        1419          10
        1425          11
        1428           2
        1431          27
        1434           4
        1439           5
        1442           2
        1446           3
        1455          35
        1459           2
        1460           3
        1461           2
        1463          32
        1466           5
        1468           4
        1470           7
        1475           2
        1481           2
        1483           6
        1484           2
        1485           5
        1488           6
        1490           2
        1492           2
        1497           2
        1501           5
        1511          23
        1516          91
        1517           4
        1518           4
        1519          48
        1537           3
        1539          16
        1549           2
        1550           4
        1551           2
        1555           5
        1558           5
        1567           4
        1571           3
        1574           4
        1582          18
        1594           3
        1597           2
        1599           2
        1602           3
        1616           3
        1617           2
        1618          65
        1620           2
        1621           6
        1631           2
        1632           5
        1634          58
        1635           3
        1637          82
        1643           2
        1651           2
        1654           2
        1661           2
        1664           5
        1665         190
        1666           3
        1669           5
        1680          32
        1682           2
        1683           8
        1685           4
        1687           2
        1689          14
        1691           3
        1702           3
        1705           2
        1709           2
        1711          10
        1713           8
        1724          12
        1730           2
        1731          73
        1733           7
        1741           3
        1747           2
        1761          70
        1762           2
        1764           4
        1767           7
        1774           4
        1776          11
        1777          39
        1779          10
        1790           2
        1794           2
        1801           2
        1804           4
        1806           4
        1807           4
        1808           6
        1810          26
        1813           7
        1814           5
        1829           2
        1830           3
        1832           7
        1833           3
        1837           3
        1841           3
        1850           3
        1852           6
        1856           2
        1857           3
        1862           2
        1863           4
        1866           6
        1867           5
        1868           2
        1874           3
        1876           8
        1885           3
        1886          18
        1888           2
        1893          39
        1894           6
        1898          28
        1909           7
        1911          30
        1918           4
        1920           3
        1922         589
        1927           3
        1929           8
        1934           4
        1938           2
        1941           6
        1945          23
        1949           6
        1960          12
        1961          12
        1969         107
        1977           4
        1978           3
        1983           4
        1984           4
        1989           2
        1994           6
        1995          14
        1996           2
        1997           2
        2001           3
        2004           3
        2008           7
        2009          24
        2010           3
        2023           4
        2026           2
        2029           2
        2032           2
        2034           4
        2035           3
        2052          12
        2054          12
        2055           3
        2057           6
        2059           5
        2061           2
        2062        1040
        2067           4
        2070           3
        2071           2
        2073           3
        2081           8
        2092           2
        2102          16
        2118           6
        2121           3
        2122           3
        2123           4
        2124          43
        2129           4
        2131          17
        2134           2
        2140           8
        2146          17
        2148           8
        2152           7
        2158           5
        2170           5
        2171           4
        2172           3
        2174          68
        2176           2
        2184          33
        2187           2
        2188           2
        2192           2
        2195           3
        2202          20
        2208           2
        2209           3
        2212          19
        2219           4
        2222           3
        2227           3
        2249           2
        2253          17
        2257           4
        2263           2
        2268           3
        2269           2
        2270           2
        2272           2
        2278           4
        2279          15
        2280         104
        2281           3
        2282           2
        2283          58
        2284           3
        2288           8
        2290           2
        2297           7
        2305           2
        2312           2
        2314           3
        2315           4
        2318          39
        2320          11
        2321           2
        2322           2
        2323           2
        2336           3
        2339          25
        2341           2
        2342           6
        2349           2
        2355           2
        2357          19
        2363           2
        2365           4
        2366          26
        2369           9
        2371          22
        2372           3
        2373           6
        2375           3
        2377           2
        2385           4
        2393           8
        2394          22
        2403           2
        2404           3
        2405           4
        2411           2
        2414          16
        2417          10
        2418           2
        2426           6
        2430           3
        2433           9
        2443           2
        2447           3
        2448           9
        2449           3
        2458           3
        2460           2
        2466           2
        2474           2
        2477           3
        2478           7
        2480           9
        2481           7
        2482           2
        2483           5
        2485           4
        2488           3
        2489           2
        2490           3
        2491           2
        2499           5
        2500           2
        2504          26
        2507          19
        2512           4
        2513           3
        2514          15
        2520           4
        2528           2
        2532           4
        2539           6
        2541           9
        2542           3
        2544           4
        2546           5
        2547           6
        2548           2
        2552           8
        2558           2
        2565          15
        2566           3
        2568           6
        2575          10
        2576           6
        2577           2
        2578           2
        2582           2
        2589           8
        2591           2
        2593          17
        2594           2
        2599           2
        2600          21
        2620           3
        2622          11
        2632           6
        2636           4
        2638          17
        2642           4
        2643          67
        2645           4
        2656           2
        2657           6
        2667           6
        2668           2
        2669           2
        2671          20
        2682          26
        2686           3
        2689           2
        2690           5
        2693           2
        2697           2
        2703           4
        2706           2
        2711           2
        2712          25
        2717          42
        2719          28
        2722           9
        2723           3
        2728           4
        2737           6
        2741           4
        2743           4
        2750           2
        2757          17
        2758           2
        2763           2
        2764           7
        2768           6
        2769          21
        2772           2
        2775           3
        2777           9
        2780         104
        2781           2
        2782           4
        2785           5
        2797           7
        2803           4
        2804          46
        2807           2
        2808           4
        2810           5
        2812           4
        2813          46
        2824           6
        2828           3
        2831          23
        2851          15
        2852           4
        2858           2
        2868           2
        2874           2
        2882          10
        2886           2
        2897           2
        2898           2
        2903           6
        2904           3
        2906           2
        2907           7
        2909           4
        2911           3
        2913           2
        2914           3
        2917           2
        2920           5
        2924           7
        2926           8
        2927          18
        2938           2
        2942           2
        2945           3
        2946          15
        2959           3
        2961          21
        2962           3
        2963           2
        2967           6
        2972           4
        2974           4
        2979           2
        2985           3
        2990           9
        2991          13
        2995           6
        2996           5
        3002           3
        3006           7
        3013           4
        3015          10
        3020          19
        3021           2
        3026          39
        3028           4
        3029          16
        3030          25
        3037           5
        3038           2
        3040           2
        3042           5
        3044          10
        3051           2
        3053           2
        3055           5
        3057          16
        3059           5
        3064           7
        3065           4
        3069           2
        3070           8
        3074           8
        3080           2
        3083           3
        3085           2
        3088           3
        3094          13
        3099           5
        3101           4
        3105          54
        3108          26
        3109           4
        3110          38
        3111           5
        3117          16
        3129           5
        3131           3
        3151           3
        3152          16
        3153          31
        3169           2
        3175           3
        3176          13
        3182           2
        3186           3
        3191           7
        3194           6
        3195           2
        3197           2
        3202           2
        3209           3
        3216           6
        3217           8
        3220           2
        3223          69
        3224           2
        3235           2
        3236           4
        3238           5
        3240           3
        3242           2
        3243           2
        3244           3
        3245           2
        3246          11
        3247           2
        3262           3
        3264          19
        3270           2
        3272           2
        3277           4
        3280           2
        3282           7
        3285           5
        3286          12
        3288           5
        3291           2
        3295           2
        3303           4
        3305           5
        3307           7
        3310           3
        3311           2
        3319           5
        3321           8
        3322           3
        3335           9
        3340          12
        3341          16
        3347           3
        3352           2
        3356           3
        3357           2
        3361          11
        3363           2
        3366           5
        3369         133
        3376           2
        3381           3
        3385           2
        3395           5
        3397           3
        3398          17
        3404           2
        3405           2
        3408           7
        3410          12
        3412           6
        3414           2
        3416           5
        3422           9
        3426           3
        3427           3
        3431          20
        3432           2
        3437         290
        3441          16
        3444           4
        3449           3
        3451           4
        3457           4
        3459           4
        3465           2
        3466           2
        3470           2
        3490           2
        3491           3
        3500           2
        3501           2
        3511           2
        3515           7
        3520           3
        3527           5
        3530           2
        3535           2
        3536           2
        3537           2
        3538          14
        3539           2
        3544          48
        3549           6
        3551          20
        3553           2
        3557           5
        3559           5
        3566           2
        3570           2
        3572           7
        3573           7
        3577           2
        3586           2
        3587           6
        3590           3
        3592           2
        3593           3
        3597           2
        3605          12
        3608           7
        3611          10
        3616           5
        3624           3
        3626           3
        3634           2
        3644           2
        3645           2
        3650           3
        3663           2
        3666           4
        3672           2
        3674           2
        3676           4
        3678          24
        3688           3
        3694           4
        3696           6
        3697           3
        3700           4
        3704           3
        3712           3
        3721           3
        3724           2
        3735           3
        3750           2
        3770           3
        3773           9
        3776           2
        3781           2
        3783         170
        3785           2
        3786           6
        3788           2
        3802           6
        3804          15
        3805           2
        3806          10
        3808           2
        3809           3
        3811           5
        3816           3
        3832          35
        3834           2
        3835           6
        3849           2
        3852           7
        3855           3
        3856           2
        3858          13
        3859           4
        3861          44
        3870           2
        3878           3
        3882           3
        3883           2
        3884          25
        3887           2
        3892           4
        3905           2
        3913           4
        3915           2
        3918           2
        3919           7
        3924           2
        3932           2
        3934           2
        3939           3
        3942           2
        3959           4
        3966         163
        3970           2
        3971          11
        3983           3
        3988           6
        3989           5
        4000           2
        4008           2
        4017           2
        4025           5
        4028           5
        4030           5
        4043           3
        4048           6
        4051           2
        4058           7
        4062          35
        4063           3
        4064          95
        4069           2
        4072          24
        4077           6
        4093           2
        4099           3
        4102         145
        4105           2
        4109           4
        4110           2
        4122           3
        4123          32
        4124          18
        4125          10
        4127           2
        4128           3
        4130           2
        4145          12
        4146          71
        4154           3
        4161           2
        4164           7
        4165          41
        4166           4
        4175           9
        4178           6
        4179          13
        4182           3
        4190          16
        4195           6
        4206           5
        4209           4
        4214           2
        4216           5
        4221           3
        4222           4
        4226           5
        4228           2
        4230           8
        4233           3
        4234           2
        4239         314
        4245          31
        4249           3
        4250           2
        4251          58
        4262           2
        4267           2
        4271           4
        4274           8
        4275          13
        4279           6
        4282           6
        4291           5
        4293           3
        4307          14
        4309           3
        4312           7
        4315           2
        4317          67
        4322           2
        4328           2
        4330           9
        4331           7
        4334           7
        4338           4
        4339           2
        4352           4
        4357           4
        4360           3
        4364           3
        4371           2
        4374           6
        4375           3
        4378          28
        4379           5
        4381           2
        4386           9
        4392           9
        4394           6
        4398           2
        4400           4
        4406           5
        4416           2
        4421           2
        4423          10
        4428          11
        4429           4
        4436           9
        4447           2
        4448           2
        4453           9
        4462          46
        4471           3
        4473           3
        4474           2
        4476          38
        4477           3
        4479           5
        4482         142
        4485           2
        4487           2
        4488          28
        4496           3
        4497           8
        4499           6
        4500           3
        4503          72
        4504           2
        4506           4
        4513           2
        4524           7
        4527           2
        4530           4
        4531          11
        4532          44
        4534           2
        4535           2
        4543           2
        4551           2
        4555          13
        4558          24
        4560          95
        4561           2
        4562          41
        4563           3
        4565          13
        4567           5
        4570           2
        4573           6
        4574           4
        4576           2
        4585          24
        4586           6
        4597           3
        4598           2
        4599           3
        4601           2
        4604           2
        4606           8
        4613           2
        4620          20
        4625           3
        4627           3
        4636           4
        4637           2
        4638          14
        4640          13
        4648           8
        4657           3
        4659           2
        4660           7
        4664          25
        4672           4
        4673          31
        4674          26
        4675           3
        4677           2
        4679           4
        4682           6
        4683           6
        4685          10
        4693           8
        4694           2
        4697          23
        4706           2
        4707           2
        4709           4
        4720          17
        4721           3
        4722           9
        4726          15
        4732         127
        4737           7
        4749           4
        4750           2
        4751          16
        4753           2
        4756          14
        4757           4
        4768           2
        4770          27
        4775           3
        4776          51
        4786           3
        4787          43
        4795           4
        4799           3
        4802           2
        4811           6
        4812           4
        4815           6
        4824           4
        4828           9
        4829          29
        4831           5
        4833           3
